x	y
15756607	29988
15763490	268
15792796	490
15807169	2180
15828232	438
15834474	13674
15847864	92597
15917698	211
15941869	34264
15969632	563
15988182	260
15989140	236
15989871	4881
16004236	4572
16006160	512
16014028	5567
16018875	15176
16035178	4852
16043736	13573
16057769	15864
16124337	31751
16155211	2119
16159266	2618
16197854	504
16197854	14756
16215909	12119
16231700	5463
16241213	186
16246839	105616
16352575	45571
16369150	381
16387117	50308
16408508	76
16440672	19407
16460948	7534
16467436	31822
16514122	164
16514645	1110
16520694	1103
16533886	2287
16534081	144
16539066	510
16548651	3881
16548914	74
16562319	51244
16617391	339
16618969	9682
16629670	15014
16645622	4668
16656879	10646
16666785	164
16673003	510
16681097	7653
16681255	74
16685621	435
16687339	32819
16701546	4049
16733951	511
16739938	10652
16740273	232707
16740280	10689
16740516	164
16754910	15328
16851257	1873
16855407	3878
16858949	73
16870945	3148
16873708	144
16888538	1112
16889095	508
16895980	164
16904339	438
16974502	6334
16978926	26166
16985958	25971
17018722	35449
17066761	52675
17158197	88
17189783	7835
17205126	40880
17249098	35136
17277889	87
17308195	55810
17329012	2785
17372196	29504
17406760	623
17406760	32965
17413631	64
17539835	158040
17717687	32292
17747169	54
17755313	71751
18065657	8756
18107746	270738
18109389	6473
18166929	12418
18385829	2686
18480982	5145
18513118	266
18595414	223
18631006	117861
18839599	20084
18849273	71849
18871430	31352
18883202	74
18897071	78
18904281	52406
19072110	3402
19074506	135771
19210501	30204
19215664	35889
19251539	8590
19265982	8213
19282558	6693
19297080	824
19303965	8182
19305076	107
19312326	16975
19338776	146764
19424384	288
19510593	141
19591802	5031
19596977	32845
19596979	61078
19608114	455
19640554	17903
19665287	14276
19682213	117733
19814029	1250
19814367	5136
19882513	30433
19920009	3609
19970969	301
19975431	4986
20028179	63012
20111939	7628
20139326	11061
20154338	6231
20161253	16172
20184242	2245
20186085	9964
20243095	1561
20290919	63976
20294211	28977
20360579	70656
20412304	950
20482391	3830
20499448	8714
20525989	763
20552439	2572
20588948	29961
20633455	18057
20633679	110
20642657	9537
20651767	9778
20664014	54004
20692734	1280
20719732	13106
20732880	1073
20742661	44663
20806292	370597
20841241	62
20988314	119
21003550	385
21073639	115
21161475	607
21217247	128258
21266082	1170
21293290	6485
21397987	376
21411460	1834
21415898	1595
21424625	3343
21428303	1234
21434318	3241
21440128	44878
21459756	327
21509372	69041
21586472	4716
21592411	138
21596215	73149
21678298	105309
21741140	56
21768269	307
21812265	12957
21822245	115053
21908098	483
21977021	21622
21987481	297
21987816	104
22001656	10884
22010650	297
22010985	104
22023994	975
22025188	6036
22052627	40320
22059197	5003
22068340	488
22100613	748
22117305	26665
22266239	62
22322840	492
22364630	1853
22451851	79307
22517474	2235
22563564	40031
22633308	109
22636506	3103
22643630	4481
22652762	8777
22710839	210662
22719517	82
22748817	95
22835713	1137
22863159	68
22953043	12296
23010834	5017
23019448	64242
23020147	67912
23044305	68
23057858	77
23084023	93786
23140325	818
23162704	107
23163953	101
23191895	2835
23244765	460
23281309	5444
23303771	40566
23359448	9995
23368997	2843
23370254	93
23378380	650
23381061	43680
23410832	1315
23428563	56006
23506430	24791
23538035	279
23549139	1777
23557918	1877
23581495	59074
23670294	9966
23691779	4647
23743155	18905
23760382	17906
23778405	9828
23790970	4570
23795599	5206
23801885	36736
23845077	23218
23870526	42837
23901471	1267
23907111	775
23929070	78
23949016	368
23959109	4354
23964804	16124
24007881	639
24040835	45965
24056035	56141
24066774	16792
24119771	23351
24154157	33803
24200240	11454
24227917	114
24279767	89
24307556	14346
24319322	45161
24356999	59936
24415794	57183
24502351	38690
24538802	17223
24556111	53218
24563627	348
24625411	103
24631716	41552
24745357	98968
24777873	107
24899511	65611
24919345	72
24961345	1753
24968423	2443
25023503	84
25043707	69414
25125053	402
25208139	731
25222679	9824
25242237	95977
25247837	485
25266102	1035
25272393	58053
25294164	480
25336429	1037
25337917	24445
25362249	67944
25398721	478
25430858	69352
25543580	25307
25581478	8879
25617468	168740
25644544	14568
25800176	18049
25811470	12275
25816749	4049
25818640	14303
25831913	222
25831913	27546
25859613	3808
25861210	10044
25877496	110
25884181	22811
25887360	251
25888970	140
25906362	93
25911749	74
25959767	38391
25964197	104
26006006	125
26006216	84
26019884	16581
26037252	8882
26051304	17133
26071578	100
26111165	14379
26159020	3609
26169871	2190
26169947	1875
26177403	12484
26190561	12408
26209741	20100
26218581	1896
26234153	44886
26263041	358
26279176	2347
26281328	37036
26317957	2567
26321859	32272
26326688	346
26361634	12889
26410778	18945
26432282	39013
26454653	535
26462756	4527
26472450	3523
26519354	897
26529761	45270
26554542	52
26593243	304
26593940	102
26602369	64
26640377	238
26642286	104
26647447	235
26692132	2000
26696033	86072
26787472	10927
26814822	291
26826710	30893
26863138	1320
26876133	2113
26876133	14165
26890488	9979
26900238	46625
26911489	2478
26949562	10845
26980165	811
26983628	397
26985897	444
26993707	7192
27005020	7817
27064991	375
27098815	68167
27176751	527
27200834	640
27206930	867
27211265	220
27229106	5247
27234516	74118
27255464	104
27311240	599
27322145	14256
27325219	107
27325329	468
27325470	84
27342020	11918
27355184	11709
27369112	5713
27379176	4205
27389468	678
27392644	3171
27404226	85933
27457198	2385
27525805	4757
27534035	70397
27612064	23214
27649419	192
27660328	2395
27666061	6158
27669468	33596
27675603	107
27686810	662
27693731	105
27725979	37144
27739091	349
27739954	676
27773183	51270
27773858	184
27809701	88
27819983	359
27824538	106
27830778	20899
27834401	166
27850574	171
27872543	14143
27891524	23223
27934993	24165
27938875	21319
27959462	8635
27970344	118353
27990158	367
28001639	256
28031884	297
28091276	106
28095742	681
28109739	560
28120449	873
28142737	105
28147166	46771
28199456	33570
28236109	10798
28239509	1945
28247144	425
28259527	22965
28329002	6966
28369582	130788
28422555	101
28453541	394
28481362	119
28505943	33358
28505980	4913
28507366	206
28508559	204
28526318	910
28544460	2083
28553085	25461
28578538	4446
28578749	74
28579764	130
28580381	132
28580920	135
28580920	137
28589323	53763
28592200	3244
28643228	5354
28648600	131
28648600	134
28668732	50622
28689665	130
28736621	33155
28812142	59126
28870483	6854
28881726	110
28887091	232956
28982278	331
28985710	101
29041199	282
29119428	4508
29144494	2501
29147743	34245
29171285	169
29192873	38070
29223933	884
29236516	90298
29253573	100
29329620	20495
29432481	82
29488193	8701
29644545	134
29708851	697
29884902	104
29904865	493
30013952	23661
30140263	1345
30226523	93
30409560	2079
30415825	5284
30711277	12311
30718504	8324
30732469	25352
30739156	77
30771747	241
30810378	5176
30824228	10057
30843823	288
30858158	2097
30869467	39295
30918469	267
30931506	134486
31036734	507
31050872	163
31094987	572
31108188	436
31179745	59810
31259568	37215
31263245	437
31296982	67972
31333067	13733
31365625	11226
31409565	25116
31487589	1342
31497577	107
31500085	40801
31503631	114
31518435	5811
31538044	2726
31571585	3989
31576485	11202
31617686	14833
31629862	15035
31644049	16114
31644694	4678
31652247	52073
31727117	37777
31758660	76
31789130	2193
31790422	25630
31842019	13550
31851913	69929
31906421	38436
31928144	157
31933020	956
32013829	47022
32052291	21184
32072031	30836
32086949	59
32087523	291
32108038	68531
32170733	5836
32179686	18600
32200386	5002
32204769	2046
32205661	3027
32209094	7103
32214472	7888
32221928	9677
32231658	9963
32247233	1624
32251239	34927
32269338	260
32286452	110
32292086	41550
32333832	2548
32349194	1470
32351521	12792
32361270	3009
32365103	29629
32402109	1007
32421979	341
32423214	3576
32457835	301
32465057	135736
32465069	31618
32539427	66513
32600172	50732
32639951	102
32651142	35070
32680360	23237
32717734	7504
32741885	33086
32775237	42917
32816767	42113
32862268	10215
32885994	12448
32894594	6845
32936445	28241
32973553	911
32979947	526
32986952	1282
32987075	45395
33007940	73057
33029232	345
33081104	39427
33141871	1360
33145402	36658
33162851	3448
33256545	44175
33261212	469
33306766	14333
33307348	41898
33323623	107430
33332431	111
33336566	299
33350352	12894
33442025	87
33466249	2706
33472645	23863
33512008	736
33513999	651844
33732499	137
33838523	1618
33860475	4317
33868953	16506
34112949	115
34166883	52249
34175866	84
34276859	434
34669599	96
34712737	147080
34755047	3466
34759741	3984
34761426	26672
34778561	84
34781189	5181
34792998	2750
34850694	862
34865436	64150
34974356	10958
34981533	50209
34981535	3819
34986165	45804
35053468	5804
35059786	56074
35122022	463
35176378	16771
35195969	94
35268967	153092
35292196	303
35310274	152
35350722	886
35358822	7256
35399997	323
35433490	124461
35509742	1697
35557473	9802
35569813	7917
35573370	21959
35599544	42301
35713875	5598
35720218	49750
35739389	4188
35808172	49719
35869808	59803
35873270	483
35925832	3779
35929720	396
35930718	141783
35992109	21522
36080066	3961
36084075	4201
36088875	5058
36095236	29985
36136570	19484
36155579	25271
36191915	256
36224416	80942
36241898	259
36256467	93
36306387	18500
36322031	2124
36323734	5488
36339624	46273
36391238	6655
36402721	139
36415827	34625
36418450	129
36455718	8720
36466043	17236
36630335	523
36630807	79
36773140	2629
36795527	238603
36909316	101
37161563	72
37203610	107
37262739	62362
37264677	110
37330852	145
37454879	19533
37474552	9828
37480230	60
37492575	22200
37500935	60
37534449	19854
37544763	532
37556247	253
37556919	9939
37566816	29120
37611350	23574
37681570	10680
37692418	17302
37713880	51254
37737955	100
37776670	2749
37782457	429
37793802	7336
37799720	1160
37802944	5242
37806979	2476
37809567	50054
37840986	691
37860697	884
37860697	86361
37884237	81
37885023	95
37953508	273
37956975	33947
37991462	108
37996770	8837
38009258	15567
38043827	2968
38047314	71712
38080572	340
38089231	99
38209034	5734
38383838	585
38396659	107
38475196	1289
38708931	1960
38838198	21626
38839333	35162
38860000	59397
38862964	11142
38864501	17117
38874451	7137
38885807	55993
38926870	108
38950825	101
38958275	651
38991223	14837
39026318	8319
39081316	405862
39120940	104
39154164	133
39206512	446
39249838	7812
39304294	605
39491646	34290
39514956	1535
39522280	23908
39531838	26870
39560816	15975
39565160	8044
39567374	135
39624153	15793
39633416	488
39659121	12918
39678648	13042
39692182	71733
39718028	568
39723566	62
39757182	31680
39769523	1826
39788976	1196
39795843	154
39841022	42490
39881566	113
39895426	6831
39897745	1354
39944890	109
39955112	14857
39962680	725
40040233	32417
40072705	24999
40132764	685
40161373	79549
40177843	107
40245947	5745
40256427	1541
40258107	36078
40262672	313
40300487	17330
40333078	480
40344850	78477
40364766	418
40450102	13617
40464319	2449
40473055	1005
40477215	19129
40493157	15505
40508741	7816
40514461	597
40515754	1421
40531561	16609
40563534	126
40593633	721
40620679	44979
40669089	18500
40690380	1687
40691570	80034
40754351	113
40757284	89
40784012	56441
40804846	296
40861051	1316
40863914	12757
40938104	1660
40939661	107
40942251	265
40979335	33231
40984853	67
41014590	29301
41015597	7641
41027200	214955
41098638	499
41242373	42489
41264550	313
41332111	134
41361922	21669
41375004	666
41466937	92
41478775	5899
41506365	529561
41535443	426
41542069	2242
41759141	87
42040597	1133
42140635	757
42153421	2404
42162691	2028
42176539	159339
42335386	2991
42380795	41784
42412398	397
42430329	25939
42456117	17269
42463330	191335
42491739	755
42500205	135
42569033	107
42570970	421
42658425	18334
42678735	2925
42682427	19923
42733093	7162
42746335	20750
42767269	27225
42775813	978
42787990	10241
42807052	10201
42817124	27866
42834681	11742
42846573	5905
42886597	2171
42891094	1337
42903232	681
42925375	33799
42959049	24310
42991438	107
43104086	412
43145153	11244
43164175	106762
43172149	82210
43196417	120
43269994	4009
43281883	3735
43300993	22116
43337807	14966
43354684	3975
43358955	4249
43363397	4678
43364648	68
43383917	5892
43385113	4043
43389882	62769
43447776	869
43448539	73
43451003	2987
43453927	3069
43525187	98480
43650158	55358
43699765	8374
43705824	225342
43709392	17952
43743471	271
43850300	1312
43933320	3922
43944370	2182
43946939	21084
43970000	3370
43974487	3809
43978943	12228
43991359	5170
43991500	39968
44030443	85471
44087958	520
44103306	1398
44103945	135
44117098	300
44118850	16291
44122153	360
44137842	972
44150594	1160
44153385	96
44155028	274
44172506	214
44187943	1107
44213455	7227
44221070	134191
44243408	866
44333105	74
44390722	102
44405194	246531
44545493	60
44635238	39318
44674692	50900
44721786	117
44731055	116
44739818	27950
44759037	16774
44775251	3529
44775864	80
44776490	104
44777843	70
44778390	67
44778390	69
44780331	385
44783585	4121
44800225	5766
44805913	763
44808482	7104
44819844	23220
44819883	115
44843921	162
44850522	136201
44913068	105
44932323	109
44958557	839
44988234	492
44988705	3130
45002540	8790
45012147	3429
45016399	289811
45069977	453
45232218	90
45303910	1710
45326905	1629
45329163	11308
45339670	4306
45343883	147284
45415020	325
45493866	6214
45500053	13330
45511036	12012
45530927	1213
45550543	19507
45580892	105
45581219	103
45583846	35059
45592722	93
45605657	74
45620044	4014
45627304	60810
45645816	382
45651039	788
45687214	7230
45694324	56327
45694684	2392
45781277	681
45786987	249138
45846994	601
46040140	92897
46043661	132828
46046818	1551
46104950	226
46134531	4551
46175073	10886
46175486	993
46178715	107
46188682	31624
46203334	17928
46247688	30786
46261196	42413
46303631	13146
46340177	24976
46370586	370
46394265	19584
46432129	13393
46435525	83
46446673	3032
46455823	26653
46506996	7231
46538696	31560
46545644	5884
46557408	59436
46607715	9177
46632737	41131
46665910	466
46668855	4740
46674036	18063
46675159	43906
46742329	805
46757838	61576
46843095	57343
46891639	1192
46929177	12308
46967679	196
46994382	121
47000898	190
47002995	154
47023568	27184
47067488	50832
47074778	1202
47096653	82619
47137435	12307
47164510	1411
47179250	1090
47183593	7452
47216290	15931
47225797	4954
47250139	64009
47333797	45043
47380928	27550
47416072	1981
47432133	2509
47436017	4675
47483698	465
47497894	448
47502504	136
47550196	558
47621093	85
47688463	14921
47760528	236368
47761132	4416
47818066	2172
48053545	13657
48078787	3410
48089368	267
48096092	86337
48102068	2640
48205965	879
48222685	25960
48227888	1674
48262230	950
48295372	176837
48325080	1044
48344209	107
48435967	1257
48447936	107
48497263	474
48532855	1491059
48727523	49447
49048316	139270
49257411	11875
49374201	97885
49691262	262
49841821	4580
49982215	81
49994318	1901
50017092	412
50048014	155773
50114937	346
50174306	1563
50206084	17044
50326131	877
50398825	949
50405430	595
50417550	5951
50437028	523236
50461469	9682
50499758	100
50582404	108
50780340	811
50846468	370
50960745	13889
51059837	69
51060018	86
51102234	45853
51107222	110
51157788	684
51188463	89
51195095	40002
51236271	37185
51250603	870
51264916	1159
51287258	57859
51329654	5671
51354263	165066
51372270	955
51382308	107
51461721	1696
51518309	43321
51538625	105
51561866	33032
51577179	221249
51707138	1000
51709062	879
51724775	122
51789191	89747
51793934	5221
51801028	280
51836341	70
51859778	358
51900920	52
51907956	82809
51973410	126
51980473	342
51995740	300
52020131	36041
52032103	1714
52033391	10889
52050918	1766
52056125	34592
52142094	204593
52150104	316
52150329	84
52160261	340
52162186	841
52179848	706
52189916	394
52252062	712
52253621	556
52345723	20471
52353487	391
52368677	568
52372829	31631
52404564	16276
52408282	145206
52554818	456
52573114	703
52602372	6680
52633344	36340
52684451	13916
52709122	321
52714399	297
52726467	100876
52754322	141
52772194	455
52805108	105
52842511	52488
52881216	515
52895910	31303
52920422	175
52925249	175
52927229	124475
52928674	99
52934930	88
52940314	100
52943536	395
52993201	502
52994726	1301
53053624	1326
53062052	23451
53069938	15565
53073110	280
53087179	55454
53114576	4034
53180921	5980
53196429	17769
53209783	3993
53214099	6519
53220663	3591
53226892	11719
53238610	4174
53242364	85707
53267935	667
53288024	1683
53291791	348
53304536	2927
53328233	8277
53348488	746
53366668	1578
53413149	26872
53459399	8090
53506237	231870
53688749	64
53765460	73401
53771018	136
53841547	286
53851719	38116
53891239	19848
53916574	29356
53946077	22092
53974969	1063
54007299	10888
54026681	26824
54033126	1755
54053587	58933
54054079	76
54089856	238
54099968	257
54133074	20697
54138373	4608
54141224	58850
54172336	27701
54184041	41424
54225432	188048
54236440	2624
54285405	1967
54416256	4605
54481504	63
54504668	103
54516412	848
54524824	108
54536796	963
54542257	96936
54609182	14375
54621477	6962
54641754	68513
54641786	100523
54715822	26836
54756898	7617
54779712	21556
54792885	2021
54806063	36190
54849633	37586
54886875	1127
54887563	1288
54980792	11502
54980950	11325
54998933	11951
55039548	25305
55066359	148755
55217861	16317
55222379	994
55225641	83
55367466	1309
55372710	607
55376526	327
55398514	107
55484871	102
55581037	153966
55823807	44442
55915609	29355
55938714	567
55945087	5033
56145721	9504
56207567	890
56248294	10278
56377333	86
56414963	1004
56494747	150555
56538452	460
56585612	631
56619409	141
56645322	70014
56718804	100893
56823679	3242
56854806	63416
56929210	36931
56963886	32872
56966280	83
56994778	1551957
57386576	875
57605847	360
57757084	93
57860532	20374
58047889	1447
58056133	348
58060139	20136
58084419	141
58228682	322
58415384	131419
58552913	421
58565631	302
58575423	2351
58630841	690
58654739	45354
58764849	87
58780788	3540
58785160	114435
58812808	535
58838448	12807
58882868	13836
58999676	819
59020387	24228
59054397	1653
59055999	22118
59056643	31553
59131936	76186
59132473	108083
59289303	338
59296638	471038
59733227	70
59754747	34436
59772795	16054
59814786	61593
59893308	33483
59974757	298
59987269	86502
60097415	562
60114875	34805
60540249	100243
60659631	165954
60865259	597535
60915050	139
60940239	30538
61124733	470
61248945	4566
61629031	91
61654194	715
61681046	44378
61741998	427
61742477	421444
61816419	104
61852499	104
62038842	270
62072448	294
62078786	74
62189131	823
62190522	405
62194831	17498
62208136	307
62211557	110
62236979	82436
62298149	108
62436297	15508
62454728	233641
62530636	238
62597487	8673
62607766	1819
62641122	546
62688482	22213
62784135	81379
62896009	5631
62905180	303
63000497	11975
63024207	1452
63078081	951
63139250	23904
63159083	3554
63186336	115
63189989	127243
63249920	1852
63262113	595
63320884	3558
63323041	2086
63326925	60
63338263	110
63359823	1357
63367590	70973
63440770	152952
63523372	49322
63529613	286
63536711	60
63547082	3555
63548977	136
63549133	84
63549227	58
63549294	73
63549374	90
63549489	120
63593276	66970
63655743	305
63774022	407477
63788721	584
63843196	490
64028894	107
64066640	102
64094442	76856
64203627	63742
64384398	62
64470792	222267
64579847	77
64745095	88138
64833229	133276
64918443	241
64941979	387
64972225	30252
64984608	1480
65003470	618
65022968	107
65057755	88
65058434	75
65066627	1111
65077413	719
65092392	223
65147549	84597
65154480	171
65248219	167651
65279456	27066
65298755	226
65415816	191
65420587	15421
65420652	220908
65486406	7783
65576129	2252
65761058	295
65792514	582066
66042500	8219
66094461	86
66533383	214917
66628415	111
66665864	11164
66730967	92
66752459	26329
66797741	3516
66812885	112003
66826942	1617
66924895	63725
66999332	54768
67092165	139689
67102645	135
67121605	2352
67166400	93580
67196140	104
67239440	88
67267601	126
67278052	728
67307364	89537
67407810	22606
67417214	105
67529630	2700
67541127	107
67561073	374
67656831	299
67660155	859
67685061	3278
67701466	132002
67772593	61
67832303	370685
68043330	904
68045962	5670
68049360	386
68058177	86
68098473	134648
68161761	1330
68183518	93
68242474	582
68282388	235
68375327	337
68381441	217
68428822	21138
68474152	23070
68479129	4411
68496676	41952
68514375	295
69055898	129106
69243372	6052
69433255	2155
69568398	583548
69606855	1447
69879592	304
69919322	996
70013982	17241
70144805	60816
70180144	297
70205682	47371
70218589	2435
70260588	94147
70354805	30535
70359562	876
70363780	2356
70411218	28634
70430896	283
70445071	466
70530526	967
70660657	609
70706453	80016
70715933	4357
70852353	195456
70947379	4115
71005854	649
71048855	18330
71063291	18007
71067631	86
71081324	408653
71141975	94
71250999	1121
71367054	250
71395940	886795
71570956	2603
71738173	182
71794232	42781
72274552	608
72301472	358
72717663	107
72748921	150220
72765031	15261
72979014	301
73104792	1491
73191604	252
73306170	49082
73635216	79999
73749517	107
73883714	109
74026015	172173
74198212	35875
74198235	345748
74235401	309028
74341579	37224
74468195	1349
74469878	42737
74568111	105628
74577430	48669
74698769	565
74705482	27927
74733152	33527
74963314	1805
75122518	1410
75127830	5229
75128434	33100
75129974	2603
75182616	94
75183045	103
75202131	408986
75521562	670
75538015	105
75582099	457
75641346	742
75710003	14009
75724347	63229
75743423	1354
75786197	8883
75787072	79
75787889	84
75789477	72
75796882	116357
75842632	86
75918873	13559
76011324	8033
76041691	24538
76074719	559883
76353583	664
76636877	463
76699789	750
76718140	102
76753135	106
76758124	21144
76867441	198271
77007744	72
77060143	60
77067920	10563
77088990	130441
77129114	555
77194825	571
77276638	110
77282051	277919
77346046	3540
77391422	107
77420325	62
77562416	121004
77614869	84
77645324	295
77695987	63866
77773865	1000
77779624	99916
77779904	96
77810861	921
77847110	1693
77853355	539
77881348	8192
77888513	55383
77944055	35056
77979175	38790
77979542	158908
78004346	209
78043383	766
78088988	96
78091499	556
78094807	109
78170481	757
78229599	139866
78303884	235866
78317157	107
78375164	105
78619922	26224
78649796	14283
78666272	424
78687060	101
78749073	1587
78889764	116955
79054945	1111
79135133	94
79323769	1095
79521080	1124
80092103	1135
80114943	1976
80124004	358
80283352	619
80373364	1258
80451083	922
80464301	418
80495903	331
80534978	49386
80535755	111034
80599705	89
81080790	382
81098267	739
81208568	643
81251789	308
81306160	686277
81426456	1150
81501794	1675
81505099	1198
81513880	43823
81557121	712
81585941	39773
81596157	350
81721693	1376
81990753	54
82215220	45914
82660030	90
82903183	263633
82973882	12327
83446053	8719
83575776	285248
83790280	11186
83865028	134123
83979118	5183
84015865	2507
84076331	1601
84078062	160437
